Unnamed: 0,type,full_question,label,accuracy,ci_lb,ci_ub,llm_name,noise_level
36,time,Quanti penalità ha raccolto il giocatore agent2 nel turno 29?,points_agent2_29,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
37,time,Quanti penalità ha raccolto il giocatore agent2 nel turno 30?,points_agent2_30,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
38,rules,metadata,metadata,0.0,0.0,0.0,Mistral-7B-Instruct-v0.3,0
39,rules,Qual è il penalità più alto che il giocatore agent1 può ottenere in un singolo turno?,max_bound,0.0,0.0,0.0,Mistral-7B-Instruct-v0.3,0
40,rules,Qual è il penalità più basso che il giocatore agent1 può ottenere in un singolo turno?,min_bound,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
41,rules,Quali azioni è autorizzato a giocare il giocatore agent1?,allowed_actions,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
42,rules,Qual è il penalità del giocatore agent1 in un singolo turno se il giocatore agent1 gioca 'Cooperare' e il giocatore agent2 gioca 'Cooperare'?,payoff_check_p0_Coo_Coo,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
43,rules,Qual è il penalità del giocatore agent1 in un singolo turno se il giocatore agent1 gioca 'Tradire' e il giocatore agent2 gioca 'Tradire'?,payoff_check_p0_Tra_Tra,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
44,rules,Qual è il penalità del giocatore agent1 in un singolo turno se il giocatore agent1 gioca 'Cooperare' e il giocatore agent2 gioca 'Tradire'?,payoff_check_p0_Coo_Tra,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
45,rules,Qual è il penalità del giocatore agent2 in un singolo turno se il giocatore agent1 gioca 'Cooperare' e il giocatore agent2 gioca 'Tradire'?,payoff_check_p1_Coo_Tra,0.0,0.0,0.0,Mistral-7B-Instruct-v0.3,0
46,state,metadata,metadata,0.0,0.0,0.0,Mistral-7B-Instruct-v0.3,0
47,state,Quante volte il giocatore agent1 ha scelto Tradire?,#actions_agent1_Tradire,0.3333333333333333,0.0,0.7059815936619251,Mistral-7B-Instruct-v0.3,0
48,state,Quante volte il giocatore agent1 ha scelto Cooperare?,#actions_agent1_Cooperare,0.6666666666666666,0.3150381589949942,1.0,Mistral-7B-Instruct-v0.3,0
49,state,Quante volte il giocatore agent2 ha scelto Tradire?,#actions_agent2_Tradire,0.0,0.0,0.0,Mistral-7B-Instruct-v0.3,0
50,state,Quante volte il giocatore agent2 ha scelto Cooperare?,#actions_agent2_Cooperare,0.0,0.0,0.0,Mistral-7B-Instruct-v0.3,0
51,state,Qual è il totale attuale di penalità del giocatore agent1?,total_payoff_agent1,0.0,0.0,0.0,Mistral-7B-Instruct-v0.3,0
52,state,Qual è il totale attuale di penalità del giocatore agent2?,total_payoff_agent2,0.0,0.0,0.0,Mistral-7B-Instruct-v0.3,0
0,time,metadata,metadata,0.0,0.0,0.0,Mistral-7B-Instruct-v0.3,5
1,time,Qual è il turno attuale del gioco?,current_round,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,5
2,time,Quale azione ha giocato il giocatore agent1 nel turno 8?,action_agent1_8,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,5
3,time,Quale azione ha giocato il giocatore agent1 nel turno 9?,action_agent1_9,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,5
4,time,Quale azione ha giocato il giocatore agent1 nel turno 10?,action_agent1_10,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,5
5,time,Quanti penalità ha raccolto il giocatore agent1 nel turno 8?,points_agent1_8,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,5
6,time,Quanti penalità ha raccolto il giocatore agent1 nel turno 9?,points_agent1_9,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,5
7,time,Quanti penalità ha raccolto il giocatore agent1 nel turno 10?,points_agent1_10,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,5
8,time,Quale azione ha giocato il giocatore agent2 nel turno 8?,action_agent2_8,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,5
9,time,Quale azione ha giocato il giocatore agent2 nel turno 9?,action_agent2_9,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,5
10,time,Quale azione ha giocato il giocatore agent2 nel turno 10?,action_agent2_10,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,5
11,time,Quanti penalità ha raccolto il giocatore agent2 nel turno 8?,points_agent2_8,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,5
12,time,Quanti penalità ha raccolto il giocatore agent2 nel turno 9?,points_agent2_9,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,5
13,time,Quanti penalità ha raccolto il giocatore agent2 nel turno 10?,points_agent2_10,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,5
14,time,Quale azione ha giocato il giocatore agent1 nel turno 18?,action_agent1_18,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,5
15,time,Quale azione ha giocato il giocatore agent1 nel turno 19?,action_agent1_19,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,5
16,time,Quale azione ha giocato il giocatore agent1 nel turno 20?,action_agent1_20,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,5
17,time,Quanti penalità ha raccolto il giocatore agent1 nel turno 18?,points_agent1_18,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,5
18,time,Quanti penalità ha raccolto il giocatore agent1 nel turno 19?,points_agent1_19,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,5
19,time,Quanti penalità ha raccolto il giocatore agent1 nel turno 20?,points_agent1_20,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,5
20,time,Quale azione ha giocato il giocatore agent2 nel turno 18?,action_agent2_18,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,5
21,time,Quale azione ha giocato il giocatore agent2 nel turno 19?,action_agent2_19,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,5
22,time,Quale azione ha giocato il giocatore agent2 nel turno 20?,action_agent2_20,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,5
23,time,Quanti penalità ha raccolto il giocatore agent2 nel turno 18?,points_agent2_18,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,5
24,time,Quanti penalità ha raccolto il giocatore agent2 nel turno 19?,points_agent2_19,0.5,0.0,1.0,Mistral-7B-Instruct-v0.3,5
25,time,Quanti penalità ha raccolto il giocatore agent2 nel turno 20?,points_agent2_20,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,5
26,time,Quale azione ha giocato il giocatore agent1 nel turno 28?,action_agent1_28,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,5
27,time,Quale azione ha giocato il giocatore agent1 nel turno 29?,action_agent1_29,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,5
28,time,Quale azione ha giocato il giocatore agent1 nel turno 30?,action_agent1_30,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,5
29,time,Quanti penalità ha raccolto il giocatore agent1 nel turno 28?,points_agent1_28,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,5
30,time,Quanti penalità ha raccolto il giocatore agent1 nel turno 29?,points_agent1_29,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,5
31,time,Quanti penalità ha raccolto il giocatore agent1 nel turno 30?,points_agent1_30,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,5
32,time,Quale azione ha giocato il giocatore agent2 nel turno 28?,action_agent2_28,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,5
33,time,Quale azione ha giocato il giocatore agent2 nel turno 29?,action_agent2_29,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,5
34,time,Quale azione ha giocato il giocatore agent2 nel turno 30?,action_agent2_30,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,5
35,time,Quanti penalità ha raccolto il giocatore agent2 nel turno 28?,points_agent2_28,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,5
36,time,Quanti penalità ha raccolto il giocatore agent2 nel turno 29?,points_agent2_29,0.0,0.0,0.0,Mistral-7B-Instruct-v0.3,5
37,time,Quanti penalità ha raccolto il giocatore agent2 nel turno 30?,points_agent2_30,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,5
38,rules,metadata,metadata,0.0,0.0,0.0,Mistral-7B-Instruct-v0.3,5
39,rules,Qual è il penalità più alto che il giocatore agent1 può ottenere in un singolo turno?,max_bound,0.0,0.0,0.0,Mistral-7B-Instruct-v0.3,5
40,rules,Qual è il penalità più basso che il giocatore agent1 può ottenere in un singolo turno?,min_bound,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,5
41,rules,Quali azioni è autorizzato a giocare il giocatore agent1?,allowed_actions,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,5
42,rules,Qual è il penalità del giocatore agent1 in un singolo turno se il giocatore agent1 gioca 'Cooperare' e il giocatore agent2 gioca 'Cooperare'?,payoff_check_p0_Coo_Coo,0.6666666666666666,0.3150381589949941,1.0,Mistral-7B-Instruct-v0.3,5
43,rules,Qual è il penalità del giocatore agent1 in un singolo turno se il giocatore agent1 gioca 'Tradire' e il giocatore agent2 gioca 'Tradire'?,payoff_check_p0_Tra_Tra,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,5
44,rules,Qual è il penalità del giocatore agent1 in un singolo turno se il giocatore agent1 gioca 'Cooperare' e il giocatore agent2 gioca 'Tradire'?,payoff_check_p0_Coo_Tra,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,5
45,rules,Qual è il penalità del giocatore agent2 in un singolo turno se il giocatore agent1 gioca 'Cooperare' e il giocatore agent2 gioca 'Tradire'?,payoff_check_p1_Coo_Tra,0.0,0.0,0.0,Mistral-7B-Instruct-v0.3,5
46,state,metadata,metadata,0.0,0.0,0.0,Mistral-7B-Instruct-v0.3,5
47,state,Quante volte il giocatore agent1 ha scelto Cooperare?,#actions_agent1_Cooperare,0.3333333333333333,0.0,0.7059815936619251,Mistral-7B-Instruct-v0.3,5
48,state,Quante volte il giocatore agent1 ha scelto Tradire?,#actions_agent1_Tradire,0.0,0.0,0.0,Mistral-7B-Instruct-v0.3,5
49,state,Quante volte il giocatore agent2 ha scelto Cooperare?,#actions_agent2_Cooperare,0.0,0.0,0.0,Mistral-7B-Instruct-v0.3,5
50,state,Quante volte il giocatore agent2 ha scelto Tradire?,#actions_agent2_Tradire,0.0,0.0,0.0,Mistral-7B-Instruct-v0.3,5
51,state,Qual è il totale attuale di penalità del giocatore agent1?,total_payoff_agent1,0.0,0.0,0.0,Mistral-7B-Instruct-v0.3,5
52,state,Qual è il totale attuale di penalità del giocatore agent2?,total_payoff_agent2,0.1666666666666666,0.0,0.4175132037868453,Mistral-7B-Instruct-v0.3,5
0,time,metadata,metadata,0.0,0.0,0.0,Qwen2.5-32B-Instruct,0
1,time,Qual è il turno attuale del gioco?,current_round,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
2,time,Quale azione ha giocato il giocatore agent1 nel turno 8?,action_agent1_8,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
3,time,Quale azione ha giocato il giocatore agent1 nel turno 9?,action_agent1_9,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
4,time,Quale azione ha giocato il giocatore agent1 nel turno 10?,action_agent1_10,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
5,time,Quanti penalità ha raccolto il giocatore agent1 nel turno 8?,points_agent1_8,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
6,time,Quanti penalità ha raccolto il giocatore agent1 nel turno 9?,points_agent1_9,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
7,time,Quanti penalità ha raccolto il giocatore agent1 nel turno 10?,points_agent1_10,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
8,time,Quale azione ha giocato il giocatore agent2 nel turno 8?,action_agent2_8,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
9,time,Quale azione ha giocato il giocatore agent2 nel turno 9?,action_agent2_9,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
10,time,Quale azione ha giocato il giocatore agent2 nel turno 10?,action_agent2_10,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
11,time,Quanti penalità ha raccolto il giocatore agent2 nel turno 8?,points_agent2_8,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
12,time,Quanti penalità ha raccolto il giocatore agent2 nel turno 9?,points_agent2_9,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
13,time,Quanti penalità ha raccolto il giocatore agent2 nel turno 10?,points_agent2_10,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
14,time,Quale azione ha giocato il giocatore agent1 nel turno 18?,action_agent1_18,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
15,time,Quale azione ha giocato il giocatore agent1 nel turno 19?,action_agent1_19,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
16,time,Quale azione ha giocato il giocatore agent1 nel turno 20?,action_agent1_20,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
17,time,Quanti penalità ha raccolto il giocatore agent1 nel turno 18?,points_agent1_18,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
18,time,Quanti penalità ha raccolto il giocatore agent1 nel turno 19?,points_agent1_19,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
19,time,Quanti penalità ha raccolto il giocatore agent1 nel turno 20?,points_agent1_20,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
20,time,Quale azione ha giocato il giocatore agent2 nel turno 18?,action_agent2_18,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
21,time,Quale azione ha giocato il giocatore agent2 nel turno 19?,action_agent2_19,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
22,time,Quale azione ha giocato il giocatore agent2 nel turno 20?,action_agent2_20,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
23,time,Quanti penalità ha raccolto il giocatore agent2 nel turno 18?,points_agent2_18,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
24,time,Quanti penalità ha raccolto il giocatore agent2 nel turno 19?,points_agent2_19,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
25,time,Quanti penalità ha raccolto il giocatore agent2 nel turno 20?,points_agent2_20,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
26,time,Quale azione ha giocato il giocatore agent1 nel turno 28?,action_agent1_28,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
27,time,Quale azione ha giocato il giocatore agent1 nel turno 29?,action_agent1_29,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
28,time,Quale azione ha giocato il giocatore agent1 nel turno 30?,action_agent1_30,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
29,time,Quanti penalità ha raccolto il giocatore agent1 nel turno 28?,points_agent1_28,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
30,time,Quanti penalità ha raccolto il giocatore agent1 nel turno 29?,points_agent1_29,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
31,time,Quanti penalità ha raccolto il giocatore agent1 nel turno 30?,points_agent1_30,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
32,time,Quale azione ha giocato il giocatore agent2 nel turno 28?,action_agent2_28,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
33,time,Quale azione ha giocato il giocatore agent2 nel turno 29?,action_agent2_29,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
34,time,Quale azione ha giocato il giocatore agent2 nel turno 30?,action_agent2_30,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
35,time,Quanti penalità ha raccolto il giocatore agent2 nel turno 28?,points_agent2_28,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
36,time,Quanti penalità ha raccolto il giocatore agent2 nel turno 29?,points_agent2_29,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
37,time,Quanti penalità ha raccolto il giocatore agent2 nel turno 30?,points_agent2_30,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
38,rules,metadata,metadata,0.0,0.0,0.0,Qwen2.5-32B-Instruct,0
39,rules,Qual è il penalità più alto che il giocatore agent1 può ottenere in un singolo turno?,max_bound,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
40,rules,Qual è il penalità più basso che il giocatore agent1 può ottenere in un singolo turno?,min_bound,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
41,rules,Quali azioni è autorizzato a giocare il giocatore agent1?,allowed_actions,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
42,rules,Qual è il penalità del giocatore agent1 in un singolo turno se il giocatore agent1 gioca 'Cooperare' e il giocatore agent2 gioca 'Cooperare'?,payoff_check_p0_Coo_Coo,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
43,rules,Qual è il penalità del giocatore agent1 in un singolo turno se il giocatore agent1 gioca 'Tradire' e il giocatore agent2 gioca 'Tradire'?,payoff_check_p0_Tra_Tra,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
44,rules,Qual è il penalità del giocatore agent1 in un singolo turno se il giocatore agent1 gioca 'Cooperare' e il giocatore agent2 gioca 'Tradire'?,payoff_check_p0_Coo_Tra,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
45,rules,Qual è il penalità del giocatore agent2 in un singolo turno se il giocatore agent1 gioca 'Cooperare' e il giocatore agent2 gioca 'Tradire'?,payoff_check_p1_Coo_Tra,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
46,state,metadata,metadata,0.0,0.0,0.0,Qwen2.5-32B-Instruct,0
47,state,Quante volte il giocatore agent1 ha scelto Tradire?,#actions_agent1_Tradire,0.0,0.0,0.0,Qwen2.5-32B-Instruct,0
48,state,Quante volte il giocatore agent1 ha scelto Cooperare?,#actions_agent1_Cooperare,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
49,state,Quante volte il giocatore agent2 ha scelto Tradire?,#actions_agent2_Tradire,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
50,state,Quante volte il giocatore agent2 ha scelto Cooperare?,#actions_agent2_Cooperare,0.0,0.0,0.0,Qwen2.5-32B-Instruct,0
51,state,Qual è il totale attuale di penalità del giocatore agent1?,total_payoff_agent1,1.0,1.0,1.0,Qwen2.5-32B-Instruct,0
52,state,Qual è il totale attuale di penalità del giocatore agent2?,total_payoff_agent2,0.0,0.0,0.0,Qwen2.5-32B-Instruct,0
0,time,metadata,metadata,0.0,0.0,0.0,Qwen2.5-32B-Instruct,5
1,time,Qual è il turno attuale del gioco?,current_round,1.0,1.0,1.0,Qwen2.5-32B-Instruct,5
2,time,Quale azione ha giocato il giocatore agent1 nel turno 8?,action_agent1_8,1.0,1.0,1.0,Qwen2.5-32B-Instruct,5
3,time,Quale azione ha giocato il giocatore agent1 nel turno 9?,action_agent1_9,1.0,1.0,1.0,Qwen2.5-32B-Instruct,5
4,time,Quale azione ha giocato il giocatore agent1 nel turno 10?,action_agent1_10,1.0,1.0,1.0,Qwen2.5-32B-Instruct,5
5,time,Quanti penalità ha raccolto il giocatore agent1 nel turno 8?,points_agent1_8,1.0,1.0,1.0,Qwen2.5-32B-Instruct,5
6,time,Quanti penalità ha raccolto il giocatore agent1 nel turno 9?,points_agent1_9,1.0,1.0,1.0,Qwen2.5-32B-Instruct,5
7,time,Quanti penalità ha raccolto il giocatore agent1 nel turno 10?,points_agent1_10,1.0,1.0,1.0,Qwen2.5-32B-Instruct,5
8,time,Quale azione ha giocato il giocatore agent2 nel turno 8?,action_agent2_8,1.0,1.0,1.0,Qwen2.5-32B-Instruct,5
9,time,Quale azione ha giocato il giocatore agent2 nel turno 9?,action_agent2_9,1.0,1.0,1.0,Qwen2.5-32B-Instruct,5
10,time,Quale azione ha giocato il giocatore agent2 nel turno 10?,action_agent2_10,1.0,1.0,1.0,Qwen2.5-32B-Instruct,5
11,time,Quanti penalità ha raccolto il giocatore agent2 nel turno 8?,points_agent2_8,1.0,1.0,1.0,Qwen2.5-32B-Instruct,5
12,time,Quanti penalità ha raccolto il giocatore agent2 nel turno 9?,points_agent2_9,1.0,1.0,1.0,Qwen2.5-32B-Instruct,5
13,time,Quanti penalità ha raccolto il giocatore agent2 nel turno 10?,points_agent2_10,1.0,1.0,1.0,Qwen2.5-32B-Instruct,5
14,time,Quale azione ha giocato il giocatore agent1 nel turno 18?,action_agent1_18,1.0,1.0,1.0,Qwen2.5-32B-Instruct,5
15,time,Quale azione ha giocato il giocatore agent1 nel turno 19?,action_agent1_19,1.0,1.0,1.0,Qwen2.5-32B-Instruct,5
16,time,Quale azione ha giocato il giocatore agent1 nel turno 20?,action_agent1_20,1.0,1.0,1.0,Qwen2.5-32B-Instruct,5
17,time,Quanti penalità ha raccolto il giocatore agent1 nel turno 18?,points_agent1_18,1.0,1.0,1.0,Qwen2.5-32B-Instruct,5
18,time,Quanti penalità ha raccolto il giocatore agent1 nel turno 19?,points_agent1_19,1.0,1.0,1.0,Qwen2.5-32B-Instruct,5
19,time,Quanti penalità ha raccolto il giocatore agent1 nel turno 20?,points_agent1_20,1.0,1.0,1.0,Qwen2.5-32B-Instruct,5
20,time,Quale azione ha giocato il giocatore agent2 nel turno 18?,action_agent2_18,1.0,1.0,1.0,Qwen2.5-32B-Instruct,5
21,time,Quale azione ha giocato il giocatore agent2 nel turno 19?,action_agent2_19,1.0,1.0,1.0,Qwen2.5-32B-Instruct,5
22,time,Quale azione ha giocato il giocatore agent2 nel turno 20?,action_agent2_20,1.0,1.0,1.0,Qwen2.5-32B-Instruct,5
23,time,Quanti penalità ha raccolto il giocatore agent2 nel turno 18?,points_agent2_18,1.0,1.0,1.0,Qwen2.5-32B-Instruct,5
24,time,Quanti penalità ha raccolto il giocatore agent2 nel turno 19?,points_agent2_19,1.0,1.0,1.0,Qwen2.5-32B-Instruct,5
25,time,Quanti penalità ha raccolto il giocatore agent2 nel turno 20?,points_agent2_20,1.0,1.0,1.0,Qwen2.5-32B-Instruct,5
26,time,Quale azione ha giocato il giocatore agent1 nel turno 28?,action_agent1_28,1.0,1.0,1.0,Qwen2.5-32B-Instruct,5
27,time,Quale azione ha giocato il giocatore agent1 nel turno 29?,action_agent1_29,1.0,1.0,1.0,Qwen2.5-32B-Instruct,5
28,time,Quale azione ha giocato il giocatore agent1 nel turno 30?,action_agent1_30,1.0,1.0,1.0,Qwen2.5-32B-Instruct,5
29,time,Quanti penalità ha raccolto il giocatore agent1 nel turno 28?,points_agent1_28,1.0,1.0,1.0,Qwen2.5-32B-Instruct,5
